source_id,classification,evidence
RO05,CONTINUING,"Actual-loaded runtime attestation implementation is pending."
RO06,CONTINUING,"Manifest/DB/run-identity migration and E2E lineage work are pending."
RO07,CONTINUING,"Provider discovery/completeness implementation is pending; closure is deferred to RO18."
RO08,CONTINUING,"Semantic BLAS-domain inventory and candidate-mode implementation are pending."
RO09,CONTINUING,"hipBLASLt vendor_auto route and correctness/force acceptance are pending."
RO12,CONTINUING,"Exhaustive raw-HIP kernel audit/disposition artifact is pending."
RO13,CONTINUING,"CK dense GEMM provider integration and qualification are pending."
RO14,CONTINUING,"CK split-K/preshuffle/pipeline implementation and correctness matrix are pending."
RO15,CONTINUING,"Grouped-GEMM/MoE schema decision, implementation, and qualification are pending."
RO16,CONTINUING,"Exact ROCm stack/provider qualification matrix is pending."
RO17,CONTINUING,"Generic Vulkan runtime/candidate lifecycle integration is pending."
RO18,CONTINUING,"Completeness, replay, and E2E lineage closure gates remain unchecked."
RO19,CONTINUING,"CM1 source capture/package provenance and static validation remain unchecked."
RO20,CONTINUING,"CM1 shader/capability integration and build/static acceptance remain unchecked."
RO21,CONTINUING,"CM1 force/telemetry/correctness implementation and acceptance remain unchecked."
VA26,AMBIGUOUS,"The source item was not resolved before the review cutoff; manual source review is required."
