source_id,unfinished_work,acceptance_boundary,capability,split_assessment,overlap_assessment,historical_evidence,active_dependencies,reference_notes
GP12,"The naive tensor override produced a negative result, but the source explicitly leaves split-mode discrimination and possible graph-builder work open.","Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",run,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: GP03.,Frozen dependencies: none recorded.,Rewrite forward references (2); preserve historical references (1) on predecessor.
GP13,Diagnostic kernel works; production disposition and newer-v7 validation remain.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: none recorded.,Rewrite forward references (2); preserve historical references (0) on predecessor.
HI102,Gate infrastructure landed; real evidence pass and CLI apply wiring remain.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,"Preserve frozen notes/reviews/evidence on predecessor; IDs: HI83,PA08,PA09,RD08.",Frozen dependencies: none recorded.,Rewrite forward references (1); preserve historical references (4) on predecessor.
HI104,Nested C++ writer correction never landed; schema and live-HIP validation remain.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",tuning,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: HI97.,Frozen dependencies: none recorded.,Rewrite forward references (1); preserve historical references (1) on predecessor.
HI119,Harness exists; schema-2 real-hardware rebuild and evidence remain.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",tuning,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,"Preserve frozen notes/reviews/evidence on predecessor; IDs: HI105,HI108,HI118,HI80,HI83.","Frozen dependencies: HI105,HI108,HI118,HI80.",Rewrite forward references (1); preserve historical references (5) on predecessor.
HI120,Explicit signature coverage for RD12 dst_gate and RD17 x_scale_channel_dst remains follow-up work while those candidate paths remain active.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",tuning,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: HI118.,Frozen dependencies: none recorded.,Rewrite forward references (4); preserve historical references (1) on predecessor.
HI125,Verifier gate is complete but live production workflow validation remains open.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",tuning,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,"Preserve frozen notes/reviews/evidence on predecessor; IDs: HI121,HI124,HI126,HI127,HI129,HI136.",Frozen dependencies: none recorded.,Rewrite forward references (1); preserve historical references (6) on predecessor.
HI130,Frozen HI130 explicitly says the seven-stage tune-campaign implementation is not yet done; HI131 fixes one replay bug but does not complete the orchestrator acceptance boundary.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",tuning,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,"Preserve frozen notes/reviews/evidence on predecessor; IDs: HI136,HI141,HI80.",Frozen dependencies: none recorded.,Rewrite forward references (3); preserve historical references (3) on predecessor.
HI131,Cross-revision retention and delta-retune remain explicitly open.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",tuning,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,"Preserve frozen notes/reviews/evidence on predecessor; IDs: HI121,HI127,HI128,HI129,PA13,PA16.",Frozen dependencies: none recorded.,Rewrite forward references (6); preserve historical references (6) on predecessor.
HI132,Implementation and real dual-GPU E2E succeeded; notes say no code changes are needed.,Closed/deprecated boundary; retain predecessor history; no successor.,run,No second boundary; frozen scope is closed or deprecated.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: none recorded.,Rewrite forward references (3); preserve historical references (0) on predecessor.
HI133,"Perf availability was unblocked, but perf.py integration and real-target CPU call-graph validation are explicitly not done.","Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",run,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: none recorded.,Rewrite forward references (3); preserve historical references (0) on predecessor.
HI137,Heterogeneous RCCL dispatch root-cause and fix-or-no-fix investigation remains unperformed.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,"Preserve frozen notes/reviews/evidence on predecessor; IDs: HI134,HI85,HI88.","Frozen dependencies: HI134,HI85,HI86,HI88.",Rewrite forward references (2); preserve historical references (3) on predecessor.
HI14,Offline validator is done; real capture lifecycle and hardware evidence remain.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",run,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,"Preserve frozen notes/reviews/evidence on predecessor; IDs: HI18,HI59,HI64,HI67,PH01,RE15.",Frozen dependencies: none recorded.,Rewrite forward references (2); preserve historical references (6) on predecessor.
HI142,Partial RCCL passes; RQ09/P2.6/P2.7 and production-admission gates remain.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",tuning,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,"Preserve frozen notes/reviews/evidence on predecessor; IDs: HI138,HI18,HI85.",Frozen dependencies: HI140.,Rewrite forward references (3); preserve historical references (3) on predecessor.
HI143,Fresh real E2E proves allow/block behavior; core mechanism needs no further validation.,Closed/deprecated boundary; retain predecessor history; no successor.,tuning,No second boundary; frozen scope is closed or deprecated.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,"Preserve frozen notes/reviews/evidence on predecessor; IDs: HI136,HI141,HI67.",Frozen dependencies: none recorded.,Rewrite forward references (1); preserve historical references (3) on predecessor.
HI144,"The hypothesis was narrowed, but the four-way discriminator and phase-tagged dispatch instrumentation remain unexecuted.","Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",tuning,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,"Preserve frozen notes/reviews/evidence on predecessor; IDs: HI136,HI141.",Frozen dependencies: none recorded.,Rewrite forward references (2); preserve historical references (2) on predecessor.
HI145,Design-only deliverable settled; implementation was delegated to HI146/HI147/HI148.,Closed/deprecated boundary; retain predecessor history; no successor.,patching,No second boundary; frozen scope is closed or deprecated.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,"Preserve frozen notes/reviews/evidence on predecessor; IDs: HI138,HI85,docs/planning/completed/hip-collectives/HI85.md.",Frozen dependencies: none recorded.,Rewrite forward references (6); preserve historical references (3) on predecessor.
HI146,"Topology gate implementation, tests, and Brutus validation remain.","Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,"Frozen dependencies: HI142,HI145.",Rewrite forward references (3); preserve historical references (0) on predecessor.
HI147,"Implementation, tests, and hardware validation have not started.","Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: HI85.,"Frozen dependencies: HI142,HI145,HI146.",Rewrite forward references (4); preserve historical references (1) on predecessor.
HI148,Production promotion remains dependent on still-open HI146/HI147 validation gates.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: none recorded.,Rewrite forward references (5); preserve historical references (0) on predecessor.
HI149,The original RD13-regression theory was corrected to a stale-test assumption; fixing or deleting that mutable-tree test remains outstanding.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: none recorded.,Rewrite forward references (2); preserve historical references (0) on predecessor.
HI150,"The design deliverable is explicitly complete and converged; implementation ownership was split to HI151, HI152, and HI153.",Closed/deprecated boundary; retain predecessor history; no successor.,build,No second boundary; frozen scope is closed or deprecated.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,"Preserve frozen notes/reviews/evidence on predecessor; IDs: HI151,HI152.","Frozen dependencies: HI151,HI152,HI153.",Rewrite forward references (6); preserve historical references (2) on predecessor.
HI153,Live pin-bump works; synthetic STOP/resume E2E regression remains unwritten.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",build,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,"Preserve frozen notes/reviews/evidence on predecessor; IDs: HI151,HI152,RD20.","Frozen dependencies: HI150,HI151,HI152.",Rewrite forward references (3); preserve historical references (3) on predecessor.
HI154,Scoped investigation explicitly closed; residual scalability work is a follow-up.,Closed/deprecated boundary; retain predecessor history; no successor.,patching,No second boundary; frozen scope is closed or deprecated.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,"Preserve frozen notes/reviews/evidence on predecessor; IDs: RD14,RD16,RD20,RD69,RD97.",Frozen dependencies: none recorded.,Rewrite forward references (10); preserve historical references (5) on predecessor.
HI158,Lazy-native-select optimization remains planned and unimplemented.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",tuning,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: HI87.,Frozen dependencies: none recorded.,Rewrite forward references (1); preserve historical references (1) on predecessor.
HI159,"Diagnostic atomic-removal changes landed, but the frozen item still specifies audit/compile-out/measurement validation and contains no completed acceptance record.","Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",tuning,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: none recorded.,Rewrite forward references (1); preserve historical references (0) on predecessor.
HI160,"The source records the required replay instrumentation, but final_tuned_launches/per-winner/fallback-after-exact evidence is not implemented or validated.","Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",tuning,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: none recorded.,Rewrite forward references (3); preserve historical references (0) on predecessor.
HI161,Brutus reproduction confirmed standalone AUTO winners diverge from production; root-cause and harness correction remain owned here.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",tuning,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: none recorded.,Rewrite forward references (2); preserve historical references (0) on predecessor.
HI163,Frozen HI163 explicitly records that the fixed-source retest did not shrink the replay host-side gap and says the real cause remains open; it is not terminal despite the independent terminal suggestion.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",tuning,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,"Preserve frozen notes/reviews/evidence on predecessor; IDs: HI64.",Frozen dependencies: none recorded.,Rewrite forward references (6); preserve historical references (1) on predecessor.
HI164,Typed op_variant_id cleanup plus helper/test refactoring remains explicit post-HI163 work.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",tuning,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: none recorded.,Rewrite forward references (7); preserve historical references (0) on predecessor.
HI165,Testing-state build/A-B/recovery/promotion lifecycle support and tests remain unimplemented.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",run,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: none recorded.,Rewrite forward references (3); preserve historical references (0) on predecessor.
HI166,Implementation and real-hardware acceptance complete; patch-state transition delegated to HI171.,Closed/deprecated boundary; retain predecessor history; no successor.,run,No second boundary; frozen scope is closed or deprecated.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,"Preserve frozen notes/reviews/evidence on predecessor; IDs: HI141,HI167.",Frozen dependencies: none recorded.,Rewrite forward references (3); preserve historical references (2) on predecessor.
HI168,Runtime/parity qualification and hardware matrix remain.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",run,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,"Preserve frozen notes/reviews/evidence on predecessor; IDs: HI134,HI141,HI162,HI167,HI85,HI87,RD73.","Frozen dependencies: HI169.",Rewrite forward references (25); preserve historical references (7) on predecessor.
HI169,Coverage-tolerant single-GPU tune application is still retained as a future experiment with no terminal disposition.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",run,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,Frozen dependencies: HI168.,Rewrite forward references (2); preserve historical references (0) on predecessor.
HI170,"Runtime matrix, preflight, quiescence, and TOCTOU implementation have not started.","Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",run,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,"Preserve frozen notes/reviews/evidence on predecessor; IDs: EC03,VA22.",Frozen dependencies: none recorded.,Rewrite forward references (2); preserve historical references (2) on predecessor.
HI171,"Multi-session DoD still requires cache refresh, audits, performance matrix, and MTP equivalence.","Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",tuning,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,"Preserve frozen notes/reviews/evidence on predecessor; IDs: CO01,HI141,HI67,HTR01,VA22.",Frozen dependencies: none recorded.,Rewrite forward references (14); preserve historical references (5) on predecessor.
HI172,"Two-GPU evidence narrows the issue, but the GPU0/27B production-path mismatch and follow-up experiments remain unresolved.","Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",tuning,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,"Preserve frozen notes/reviews/evidence on predecessor; IDs: HI141,HI17,VA22.",Frozen dependencies: none recorded.,Rewrite forward references (9); preserve historical references (3) on predecessor.
HI173,"BLAS-family search, implementation, promotion, and hipBLASLt follow-on remain.","Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",tuning,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,"Preserve frozen notes/reviews/evidence on predecessor; IDs: HI17,HI67,HTR01,RD73,RD87,docs/planning/completed/rdna-boost-experiments/RD87.md.",Frozen dependencies: none recorded.,Rewrite forward references (5); preserve historical references (6) on predecessor.
HI174,Non-matmul dispatch acceptance checklist remains unstarted.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",tuning,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,"Preserve frozen notes/reviews/evidence on predecessor; IDs: HI17,HI67,HTR01,RD73.","Frozen dependencies: HI17,HI25.",Rewrite forward references (8); preserve historical references (4) on predecessor.
HI175,RoPE candidate search is explicitly not started and is blocked on HI174 proving the non-matmul dispatch/candidate pattern.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",tuning,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,"Preserve frozen notes/reviews/evidence on predecessor; IDs: HI67,HTR01.",Frozen dependencies: HI174.,Rewrite forward references (9); preserve historical references (2) on predecessor.
HI176,rmsnorm/norm candidate search is explicitly not started and blocked on HI174.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",tuning,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,"Preserve frozen notes/reviews/evidence on predecessor; IDs: HI67,HTR01.","Frozen dependencies: HI174,HI175,HI177,HI178,HI179.",Rewrite forward references (7); preserve historical references (2) on predecessor.
HI177,Flash-attention candidate search is explicitly not started and blocked on HI174 plus a simpler pilot-op cycle.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",tuning,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: none extracted.,"Frozen dependencies: HI174,HI175,HI176,HI178,HI179.",Rewrite forward references (6); preserve historical references (0) on predecessor.
HI178,Quantize/dequantize candidate search is explicitly not started; HI174 and the overlap check with HI173 remain prerequisites.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",tuning,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: HI17.,"Frozen dependencies: HI174,HI175,HI176,HI177,HI179.",Rewrite forward references (7); preserve historical references (1) on predecessor.
HI179,Softmax/GLU candidate search is explicitly not started and blocked on HI174.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",tuning,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: HI17.,"Frozen dependencies: HI174,HI175,HI176,HI177,HI178.",Rewrite forward references (6); preserve historical references (1) on predecessor.
HI25,Readiness foundation exists; future custom-kernel stages remain unimplemented.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",tuning,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,"Preserve frozen notes/reviews/evidence on predecessor; IDs: HI04,HI12,HI17.",Frozen dependencies: HI04.,Rewrite forward references (1); preserve historical references (3) on predecessor.
HI26,RD89 reconciliation explicitly retains HI26 as a real internally designed kernel candidate; implementation/qualification remains outstanding.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",tuning,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,Preserve frozen notes/reviews/evidence on predecessor; IDs: HI30.,Frozen dependencies: none recorded.,Rewrite forward references (2); preserve historical references (1) on predecessor.
HI31,Offline integration is done; real HIP tuned-to-promoted-to-replay-to-dispatch validation remains.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",tuning,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,"Preserve frozen notes/reviews/evidence on predecessor; IDs: HI27,HI28,HI29,HI30,HI67,HI74,HI80,PH01.","Frozen dependencies: HI27,HI28,HI30.",Rewrite forward references (1); preserve historical references (8) on predecessor.
HI35,"Tooling landed; profiling, re-baseline, and documentation gates remain.","Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",tuning,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,"Preserve frozen notes/reviews/evidence on predecessor; IDs: HI09,HI12,HI23,HI24,HI34,HI65,HI74,PH01.",Frozen dependencies: HI12.,Rewrite forward references (4); preserve historical references (8) on predecessor.
HI75,"Generalized digest, lookup, coverage, holdout, and alignment work remains.","Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",tuning,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,"Preserve frozen notes/reviews/evidence on predecessor; IDs: HI36,HI37,HI67,HI74,PH01.","Frozen dependencies: HI37,HI67,HI74.",Rewrite forward references (1); preserve historical references (5) on predecessor.
HI86,The source explicitly says the broader topology-aware planner should stay pending/backlog until concrete need arises; it is not terminal.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",tuning,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,"Preserve frozen notes/reviews/evidence on predecessor; IDs: HI138,HI18,HI85,HI87,HI88.",Frozen dependencies: none recorded.,Rewrite forward references (1); preserve historical references (5) on predecessor.
HI94,"Replay fallback, process-cache-hit, hardware-separation, corruption, and graph-capture tests split from HI16 remain unimplemented.","Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",tuning,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,"Preserve frozen notes/reviews/evidence on predecessor; IDs: HI16,HI24,HI37.",Frozen dependencies: HI16.,Rewrite forward references (1); preserve historical references (3) on predecessor.
HI95,Adaptive screen-stage retention remains blocked on HI35 re-baseline and lacks the required real-hardware validation.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",tuning,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,"Preserve frozen notes/reviews/evidence on predecessor; IDs: HI24,HI37,HI65.","Frozen dependencies: HI24,HI35.",Rewrite forward references (2); preserve historical references (3) on predecessor.
HI140,Qwen matrix is blocked at preflight; source/fit resolution and hardware execution remain.,"Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,"Preserve frozen notes/reviews/evidence on predecessor; IDs: HI138,HI85.",Frozen dependencies: none recorded.,Rewrite forward references (2); preserve historical references (2) on predecessor.
HI84,"RCCL arm is superseded, but META D=3/D=4 qualification remains unfinished.","Close the recorded gap and pass the frozen scope's stated implementation, correctness, performance, or evidence gate.",patching,One independent boundary; Build/Run support is a dependency.,No duplicate boundary found; related items are prerequisites or adjacent evidence.,"Preserve frozen notes/reviews/evidence on predecessor; IDs: HI138,HI18,HI58,HI85.",Frozen dependencies: none recorded.,Rewrite forward references (2); preserve historical references (4) on predecessor.
